valve_model,valve_model_clean,position,size_mm,n,mean_gradient_mmHg_mean,mean_gradient_sd,peak_velocity,peak_gradient_mmHg_mean,peak_gradient_mmHg_sd,eoa_cm2_mean,eoa_sd,dvi_mean,dvi_sd,canonical_model,source_table,source_page,confidence,source,retrieved_at
Homograft (Homograftvalves),Homograft (Homograftvalves),aortic,24-27,,6.2,2.6,,,,2.8,1.1,,,,Table A4,54,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Homograft (Homograftvalves),Homograft (Homograftvalves),aortic,26,,6.8,2.9,,,,1.4,0.6,,,,Table A4,54,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Homograft (Homograftvalves),Homograft (Homograftvalves),aortic,25-28,,6.2,2.5,,,,,,,,,Table A4,54,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Intact,Intact,aortic,19,,24.5,9.3,,40.4,15.4,,,,,,Table A4,54,medium,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Intact (Stentedporcine),Intact (Stentedporcine),aortic,21,,19.6,8.1,,40.9,15.6,1.6,0.4,,,,Table A4,54,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Intact (Stentedporcine),Intact (Stentedporcine),aortic,23,,19.0,6.1,,32.7,9.6,1.6,0.4,,,,Table A4,54,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Intact (Stentedporcine),Intact (Stentedporcine),aortic,25,,17.7,7.9,,29.7,15.0,1.7,0.3,,,,Table A4,54,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Intact (Stentedporcine),Intact (Stentedporcine),aortic,27,,15.0,4.5,,25.0,7.6,,,,,,Table A4,54,medium,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Ionescu-Shiley,Ionescu-Shiley,aortic,17,,23.8,3.4,,,,0.9,0.1,,,,Table A4,55,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Ionescu-Shiley (Stentedbovinepericardial),Ionescu-Shiley (Stentedbovinepericardial),aortic,19,,13.3,3.9,,19.7,5.9,1.1,0.1,,,,Table A4,55,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Ionescu-Shiley (Stentedbovinepericardial),Ionescu-Shiley (Stentedbovinepericardial),aortic,21,,26.6,9.0,,,,,,,,,Table A4,55,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Ionescu-Shiley (Stentedbovinepericardial),Ionescu-Shiley (Stentedbovinepericardial),aortic,23,,15.6,4.4,,,,,,,,,Table A4,55,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
LabcorSantiago,Labcor Santiago,aortic,19,,11.8,3.3,,18.6,5.0,1.2,0.1,,,,Table A4,55,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
LabcorSantiago (Stentedbovinepericardial),Labcor Santiago (Stentedbovinepericardial),aortic,21,,8.2,4.5,,17.5,6.6,1.3,0.1,,,,Table A4,55,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
LabcorSantiago (Stentedbovinepericardial),Labcor Santiago (Stentedbovinepericardial),aortic,23,,7.8,2.9,,14.8,5.2,1.8,0.2,,,,Table A4,55,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
LabcorSantiago (Stentedbovinepericardial),Labcor Santiago (Stentedbovinepericardial),aortic,25,,6.8,2.0,,12.3,3.4,2.1,0.3,,,,Table A4,55,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
LabcorSynergy,Labcor Synergy,aortic,21,,13.3,4.2,,24.3,8.1,1.1,0.3,,,,Table A4,55,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
LabcorSynergy (Stentedporcine),Labcor Synergy (Stentedporcine),aortic,23,,15.3,6.9,,27.3,13.7,1.4,0.4,,,,Table A4,55,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
LabcorSynergy (Stentedporcine),Labcor Synergy (Stentedporcine),aortic,25,,13.2,6.4,,22.5,11.9,1.5,0.4,,,,Table A4,55,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
LabcorSynergy (Stentedporcine),Labcor Synergy (Stentedporcine),aortic,27,,10.6,4.6,,17.8,7.0,1.8,0.5,,,,Table A4,55,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
MCRIOn-X,MCRIOn-X,aortic,19,,11.8,3.4,,21.3,10.8,1.5,0.2,,,,Table A4,55,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
MCRIOn-X (Bileaflet),MCRIOn-X (Bileaflet),aortic,21,,9.9,3.6,,16.4,5.9,1.7,0.4,,,,Table A4,55,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
MCRIOn-X (Bileaflet),MCRIOn-X (Bileaflet),aortic,23,,8.6,3.4,,15.9,6.4,1.9,0.6,,,,Table A4,55,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
MCRIOn-X (Bileaflet),MCRIOn-X (Bileaflet),aortic,25,,6.9,4.3,,16.5,10.2,2.4,0.6,,,,Table A4,55,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
MedtronicAdvantage,Medtronic Advantage,aortic,23,,10.4,3.1,,,,2.2,0.3,,,,Table A4,55,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
MedtronicAdvantage (Bileaflet),Medtronic Advantage (Bileaflet),aortic,25,,9.0,3.7,,,,2.8,0.6,,,,Table A4,55,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
MedtronicAdvantage,Medtronic Advantage,aortic,27,,7.6,3.6,,,,3.3,0.7,,,,Table A4,55,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
MedtronicAdvantage (Bileaflet),Medtronic Advantage (Bileaflet),aortic,29,,6.1,3.8,,,,3.9,0.7,,,,Table A4,55,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Medtronic,Medtronic,aortic,19,,17.1,5.0,,,,1.11,0.25,,,,Table A4,55,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Medtronic Avalus,Medtronic Avalus,aortic,21,,14.5,4.3,,,,1.25,0.25,,,Avalus,Table A4,55,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Medtronic Avalus,Medtronic Avalus,aortic,23,,12.1,3.8,,,,1.47,0.32,,,Avalus,Table A4,55,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Medtronic Avalus,Medtronic Avalus,aortic,25,,11.7,4.0,,,,1.57,0.31,,,Avalus,Table A4,55,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Medtronic Avalus,Medtronic Avalus,aortic,27,,10.3,4.2,,,,1.77,0.41,,,Avalus,Table A4,55,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
MedtronicFreestyle,Medtronic Freestyle,aortic,19,,13.0,3.9,,,,,,,,Freestyle,Table A4,55,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
MedtronicFreestyle (Stentless),Medtronic Freestyle (Stentless),aortic,21,,9.1,5.1,,,,1.4,0.3,,,Freestyle,Table A4,55,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
MedtronicFreestyle (Stentless),Medtronic Freestyle (Stentless),aortic,23,,8.1,4.6,,11.0,4.0,1.7,0.5,,,Freestyle,Table A4,55,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
MedtronicFreestyle (Stentless),Medtronic Freestyle (Stentless),aortic,25,,5.3,3.1,,,,2.1,0.5,,,Freestyle,Table A4,55,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
MedtronicFreestyle (Stentless),Medtronic Freestyle (Stentless),aortic,27,,4.6,3.1,,,,2.5,0.1,,,Freestyle,Table A4,55,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Medtronic-Hall,Medtronic-Hall,aortic,21,,14.1,5.9,,26.9,10.5,1.1,0.2,,,,Table A4,55,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Medtronic-Hall (Singletiltingdisk),Medtronic-Hall (Singletiltingdisk),aortic,23,,13.5,4.8,,26.9,8.9,1.4,0.4,,,,Table A4,55,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Medtronic-Hall (Singletiltingdisk),Medtronic-Hall (Singletiltingdisk),aortic,25,,9.5,4.3,,17.1,7.0,1.5,0.5,,,,Table A4,55,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Medtronic-Hall (Singletiltingdisk),Medtronic-Hall (Singletiltingdisk),aortic,27,,8.7,5.6,,18.9,9.7,1.9,0.2,,,,Table A4,55,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Medtronic-Hall,Medtronic-Hall,aortic,20,,17.1,5.3,,34.4,13.1,1.2,0.5,,,,Table A4,55,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
MedtronicMosaic,Medtronic Mosaic,aortic,21,,14.2,5.0,,,,1.4,0.4,,,Mosaic,Table A4,55,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
MedtronicMosaic (Stentedporcine),Medtronic Mosaic (Stentedporcine),aortic,23,,13.7,4.8,,23.8,11.0,1.5,0.4,,,Mosaic,Table A4,55,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
MedtronicMosaic (Stentedporcine),Medtronic Mosaic (Stentedporcine),aortic,25,,11.7,5.1,,22.5,10.0,1.8,0.5,,,Mosaic,Table A4,55,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
MedtronicMosaic (Stentedporcine),Medtronic Mosaic (Stentedporcine),aortic,27,,10.4,4.3,,,,1.9,0.1,,,Mosaic,Table A4,55,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
MedtronicMosaic (Stentedporcine),Medtronic Mosaic (Stentedporcine),aortic,29,,11.1,4.3,,,,2.1,0.2,,,Mosaic,Table A4,55,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Mitroflow,Mitroflow,aortic,19,,13.1,3.3,,18.6,5.3,1.1,0.2,,,Mitroflow,Table A4,56,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
MonostrutBjork-Shiley,Monostrut Bjork-Shiley,aortic,19,,27.4,8.8,,,,,,,,,Table A4,56,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
MonostrutBjork-Shiley (Singletiltingdisk),Monostrut Bjork-Shiley (Singletiltingdisk),aortic,21,,20.5,6.2,,27.5,3.1,,,,,,Table A4,56,medium,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
MonostrutBjork-Shiley (Singletiltingdisk),Monostrut Bjork-Shiley (Singletiltingdisk),aortic,23,,17.4,6.4,,20.3,0.7,,,,,,Table A4,56,medium,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
MonostrutBjork-Shiley (Singletiltingdisk),Monostrut Bjork-Shiley (Singletiltingdisk),aortic,25,,16.1,4.9,,,,,,,,,Table A4,56,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
MonostrutBjork-Shiley (Singletiltingdisk),Monostrut Bjork-Shiley (Singletiltingdisk),aortic,27,,11.4,3.8,,,,,,,,,Table A4,56,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Prima,Prima,aortic,21,,13.7,1.9,,28.8,6.0,1.4,0.7,,,Prima Plus,Table A4,56,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Prima (Stentless),Prima (Stentless),aortic,23,,11.5,4.9,,21.5,7.5,1.5,0.3,,,Prima Plus,Table A4,56,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Prima (Stentless),Prima (Stentless),aortic,25,,11.6,7.2,,22.1,12.5,1.8,0.5,,,Prima Plus,Table A4,56,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Omnicarbon,Omnicarbon,aortic,21,,20.4,5.4,,37.4,12.8,1.3,0.5,,,,Table A4,56,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Omnicarbon (Singletiltingdisk),Omnicarbon (Singletiltingdisk),aortic,23,,17.4,4.9,,28.8,9.1,1.5,0.3,,,,Table A4,56,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Omnicarbon (Singletiltingdisk),Omnicarbon (Singletiltingdisk),aortic,25,,13.2,4.6,,23.7,8.1,1.9,0.5,,,,Table A4,56,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Omnicarbon (Singletiltingdisk),Omnicarbon (Singletiltingdisk),aortic,27,,12.4,2.9,,20.1,4.2,2.1,0.4,,,,Table A4,56,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Omniscience,Omniscience,aortic,21,,28.2,2.2,,50.8,2.8,0.9,0.1,,,,Table A4,56,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Omniscience (Singletiltingdisk),Omniscience (Singletiltingdisk),aortic,23,,20.1,5.1,,39.8,8.7,1.0,0.1,,,,Table A4,56,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Starr-Edwards,Starr-Edwards,aortic,23,,22.0,9.0,,32.6,12.8,1.1,0.2,,,,Table A4,56,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Starr-Edwards (Cagedball),Starr-Edwards (Cagedball),aortic,24,,22.1,7.5,,34.1,10.3,1.1,0.3,,,,Table A4,56,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Starr-Edwards (Cagedball),Starr-Edwards (Cagedball),aortic,26,,19.7,6.1,,31.8,9.0,,,,,,Table A4,56,medium,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
